Review,Polarity
"Ky film më ka pëlqyer sa herë që e kam parë. Dyluftimet, aksioni, aktrimi dhe çdo gjë tjetër e mrekullueshme. ",1
Komedi e mrekullueshme. Humor i pastër që të shton jetën. ,1
"Një ngjarje e rëndësishme historike e kthyer në një histori të shtirur dashurie, me efekte speciale të ulëta.",0
"Paraqitje e dënueshme e skizofrenisë. Fabrikim i plotë i historisë së vërtetë. Aktrimi mund të jetë imirë, por nuk ka baza. ",0
Të bën të qeshësh me realizimin idiot. Shumë larg pritshmërive. Nuk ia vlen. ,0
Plotësisht i pasaktë! A kishte vallë theks amerikan në mesjetë?!,0
Një nga filmat më të këqinj që kam parë. Nuk ia vlen. ,0
Aktorët amerikanë nuk duhet të flasin me theks të shtrembëruar britanik. Film i dobët. ,0
"Një film mahnitës që gjithkush duhet ta shohi. Regjia, aktrimi, muzika, dialogjet dhe çdo gjë e përsosur. Efektet disi të dobëta gjithsesi. ",1
"Dështim i plotë. Efekte pamore të dobëta, aktrim qesharak dhe monotoni e tejzgjatur. ",0
Një nga filmat më të mirë të të gjitha kohërave. Skenari dhe konceptimi të paarritshëm. ,1
Shmanget ndjeshëm nga libri ku bazohet. Personazhi kryesor nuk i përshtatet mirë rolit. ,0
Regji dhe aktrim qesharak. Artet marciale të portretizuara shumë keq. ,0
Një nga filmat që më kanë pëlqyer më shumë. Mendoj se është më i miri i dekadës. ,1
Filmi më romantik i të gjitha kohërave. E adhuroj!,1
"Film i mrekullueshëm, përpara kohës së vet.",1
Nuk shtyhet deri në fund. Skenat janë të dobëta. ,0
Skenari çalon në shumë pika. E bën historinë qesharake dhe të pabesueshme. Jo ndonjë film i bukur. ,0
Film i mërzitshëm. Nuk përcjell asnjë mesazh. Dialogjet krejt të rëndomta. ,0
Regjisori duhet të kuptojë që gjaku nuk mjafton për ta bërë një film interesant. Aktrimi dhe muzika janë dobët. ,0
Aktorët protagonistë humbasin veten brenda rolit. Regjia dhe skenat e përkryera bashkë me muzikën fantastike sjellin një kryevepër.,1
Ky film zgjat shumë dhe është i mërzitshëm. Përshtatje e dobët që nuk ia vlen. ,0
Nuk e meriton çmimin Oscar. Nuk ofron ndonjë gjë. ,0
Aspak emocionues si film. Personazhe që nuk përcjellin gjë. Humbje kohe. ,0
Lidhjet midis personazheve duken shumë realiste. Filmi të argëton dhe ia vlen të shihet. ,1
Gënjeshtra për popullin. Një pasunar paguan një prostitutë dhe ata bien në dashuri. Histori nga më absurdet ,0
Ky film i merr shikuesit për idiotë. Nuk ka kuptim. ,0
Dhunë e tepruar dhe e kotë. Asnjë emocion!,0
Skenar i dobët që e bën filmin të mërzitshëm. ,0
Film mjeran dhe patetik. i dobët në çdo aspekt. Mos humbisni kohë. ,0
Film pa vlera. Vetëm adoleshentët mund ta pëlqejnë. Humbje kohe. ,0
"Skenar i shkëlqyer, aventura, aksion, dramë. Film shumë argëtues, pavarësisht se historia nuk është realiste. ",1
Kulmi i mërzisë! Skenar koti dhe aktrim i dobët. ,0
Film me shumë gabime dhe jo i besueshëm. Histori e mërzitshme që duket se nuk do barojë kurrë.  ,0
Aktrim i shkëlqyer. Duhet ta shihni patjetër. ,1
Fyese mënyra se si sëmundja mendore përdoret për të krijuar një gjini filmike. ,0
"Film i mërzitshëm, shumë i gjatë dhe me gabime të pafundme. Më pëlqeu vetëm vija melodike e bukur. ",0
Një nga filmat më të bukur që kam parë. Mesazh shumë i rëndësishëm. ,1
Efekte speciale të dobëta dhe aspak emocione. Histori qesharake që fyen inteligjencën e shikuesve. ,0
Emocione të forta nga një film me mesazhe të pavdekshme dhe një muzikë që të bën të derdhësh lotë. ,1
Muzika shumë e bukur. Edhe aktrimi profesional. Film që duhet parë. ,1
"Film i mërzitshëm i historisë së luftës. Të gjithë i njohin ngjarjet, ndaj nuk ia vlen. ",0
Filmi duket plotësisht qesharak. Ka plot gjëra që janë të gabuara dhe të pamundura.,0
Një nga filmat më të bukur të realizuar ndonjëherë. ,1
Humbje kohe! Llum. ,0
Një nga filmat me më shumë ndikim që janë realizuar. Shembulli i filmit fantastiko-shkencor dhe apokaliptik. ,1
Skenar qesharak dhe i mërzitshëm. Nuk ka asgjë interesante. Mos humbisni kohë. ,0
"Film historik që përmban tension, aksion, dramë dhe gjithçka tjetër të sjellë bukur, pavarësisht se devijon së tepërmi nga historia. ",1
Aspak frymëzues! Mungon tensioni dhe skenari është i pabesueshëm. ,0
Aksion i shkëlqyer me aktorë të mrekullueshëm. ,1
Një nga filmat aksion më të bukur të viteve ‘80!,1
Zhgënjim i madh. Dialogje të kota që nuk ngjallin humor. Romancë e shtirur pa kimi midis dy personazheve. ,0
Mister dhe horror shumë interesant. Personalitete komplekse që tejkalojnë çdo pritshmëri. ,1
Humbje kohe! Pistoleta me pafundësi fishekësh që nuk mbarojnë asnjëherë. Qesharak!,0
"Personazhi kryesor shfaqet si supernjeri që nuk mund të vritet, që hyn në shtëpinë e dikujt pa u parë. Skenar i pabesueshëm. ",0
Film me gabime historike dhe efekte speciale të dobëta. Muzika është shumë e bukur gjithsesi. ,0
Film i mrekullueshëm. Aksion i realizuar shumë bukur. Duhet ta shihni patjetër. ,1
Filmi i përsosur që mund të shihet me familjen për krishtlindje. ,1
Nivel i jashtëzakonshëm i gjinisë së filmave fantastiko-shkencorë. Filmi më i mirë i viteve ‘90.,1
Ka shumë keqkuptime rreth agjencisë kombëtare të sigurisë. Kushdo që e njeh komunitetin e sigurisë mund t’i vëjë re gabimet,0
Absolutisht magjepsës! Përsosmëria e kinematografisë e përmbledhur në një film. ,1
"Komedi gjeniale me aktrim të shkëlqyer, muzikë, aventurë dhe gjithçka. ",1
Lotoj sa herë që e shoh. Do ta shoh përsëri.,1
Dhunë qesharake dhe e mërzitshme.,0
Filmi aksion më i mirë i të gjitha kohërave. Aktrim i shkëlqyer dhe efekte të jashtëzakonshme. ,1
Film i gjatë dhe aspak tërheqës. Skenat në përgjithësi janë realizuar dobët dhe ka shumë shmangie nga historia ku bazohet. ,0
Skenar i pabesueshëm. Një miliarder nuk mund të jetë aq budalla sa të dashurohet me një prostitutë. Fyerje e inteligjencës. ,0
Aspak realist. Skenat nuk bindin fare. Aktrim mediokër dhe efekte speciale të dobëta.,0
Film i mrekullueshëm. Aktrim i shkëlqyer nga të gjithë protagonistët. Histori interesante që të tërheq vëmendjen. ,1
Një skenar i thjeshtë nuk mund të jetë kaq i gjatë. Filmi ecën ngadalë dhe bëhet i mërzitshëm. Aktrimi është i mirë gjithsesi. ,0
"Skenar i gjatë, i rëndomtë dhe i mërzitshëm. Aktorët janë të famshëm, por nuk arrijnë t’i shtojnë vlera filmit. ",0
Humbje kohe ta shohësh. Komplet i mërzitshëm. ,0
"Një nga filmat më frymëzues të realizuar. Duhet ta shohin sidomos adoleshentët, për të kuptuar mbi jetën. ",1
interpretim shumë realist por edhe i bukur dhe argëtues. E rekomandoj,1
Hymnizim i mediokritetit! Përpiqet ta bëjë çdo njeri mesatar të ndihet mirë me vetën sepse është mesatar si personazhi kryesor. ,0
Të bën me të vërtet të mendosh. Film që jep një mesazh të fortë. ,1
Film i shkëlqyer. Duhet ta shihni. ,1
"Skenar i pabesueshëm. Personazhi kryesor na del i pamposhtur, i kudondodhur, i patrembur dhe orator njëkohësisht. ",0
"Një melodramë fantastike, përpara kohës së vet.",1
Histori emocionuese dhe realizim i shkëlqyer. Aktrim i nivelit të lartë dhe dialogje depërtuese. ,1
Personazhet lënë për të dëshiruar. Historia nuk përcjell mesazhe dhe nuk të mëson gjë. ,0
Film zhgënjyes! Skenar i rëndomtë dhe qesharak.,0
Portretizim i shkëlqyer i mafjes italianë që merr kontrollin e Las Vegasit. Film fantastik në çdo drejtim,1
